id,name,parent_id,description,founded
extinct_modern_groups,Extinct Modern Groups,historical_extinct_ethnic_groups,,
filipino,Filipino,austronesian_cluster,,
finnish,Finnish,uralic_cluster,,
french,French,romance_cluster,,
fula_fulani,Fula / Fulani,mande_cluster,,
gagauz,Gagauz,turkic_cluster,,
galatian,Galatian,ancient_european,,
gaulish,Gaulish,ancient_european,,
georgian,Georgian,caucasian_peoples,,
german,German,germanic_cluster,,
germanic_cluster,Germanic Cluster,eurasian,,
germanic_peoples,Germanic peoples,germanic_cluster,,
germanic_tribes,Germanic tribes,ancient_european,,
gothic,Gothic,germanic_cluster,,
greek_diaspora,Greek diaspora,trading_merchant_communities,,
guarani,Guarani,amazonian_other_south_american_cluster,,
gujarati,Gujarati,indo_aryan_cluster,,
haitian_creole,Haitian Creole,creole,,Afro-Caribbean creole culture
han_chinese,Han Chinese,sinitic_cluster,,
hawaiian,Hawaiian,polynesian,,Native Hawaiian Polynesian
hebrew,Hebrew,modern_semitic_groups,,
hellenic_cluster,Hellenic Cluster,eurasian,,
hindustani,Hindustani,indo_aryan_cluster,,
historical_extinct_ethnic_groups,HISTORICAL & EXTINCT ETHNIC GROUPS,,,
hittite,Hittite,ancient_near_eastern,,
hurrian,Hurrian,caucasian_other_regional_clusters,Ancient Near Eastern people of northern Mesopotamia,
hybrid_multi_ethnic_groups,Hybrid & Multi-ethnic Groups,diaspora_cosmopolitan_communities,,
icelandic,Icelandic,germanic_cluster,,
igbo,Igbo,kwa_guinea_cluster,,
ilocano,Ilocano,austronesian_cluster,,
inca,Inca,andean_cluster,,
indian_diaspora,Indian diaspora,trading_merchant_communities,,
indo_aryan_cluster,Indo-Aryan Cluster,eurasian,,
iranian_cluster,Iranian Cluster,eurasian,,
irish,Irish,celtic_cluster,,
iroquois,Iroquois,north_american_cluster,,
ismaili,Ismaili,religious_ethnic_groups,,
italian,Italian,romance_cluster,,
japanese_cluster,Japanese Cluster,east_asian_bloc,,
javanese,Javanese,austronesian_cluster,,
jeju_people,Jeju people,korean_cluster,,
jewish,Jewish,religious_ethnic_groups,,
jurchen,Jurchen,tungusic_cluster,,
k'iche',K'iche',mesoamerican_cluster,,
kabyle,Kabyle,berber_amazigh_cluster,,
kannada,Kannada,dravidian_cluster,,
kazakh,Kazakh,turkic_cluster,,
khitan,Khitan,mongolic_cluster,,
khmer,Khmer,other_east_asian_groups,,
khoekhoe,Khoekhoe,other_sub_saharan_groups,,
kikuyu,Kikuyu,bantoid_cluster,,
korean,Korean,korean_cluster,,
korean_cluster,Korean Cluster,east_asian_bloc,,
kurdish,Kurdish,iranian_cluster,,
kwa_guinea_cluster,Kwa / Guinea Cluster,sub_saharan_african_bloc,,
kyrgyz,Kyrgyz,turkic_cluster,,
lao,Lao,other_east_asian_groups,,
latvian,Latvian,baltic_cluster,,
lebanese,Lebanese,levantine_diaspora,,
lebanese_diaspora,Lebanese diaspora,trading_merchant_communities,,
levantine_diaspora,Levantine & Diaspora,caucasian_other_regional_clusters,,
lezghian,Lezghian,caucasian_peoples,,
lingala,Lingala,bantoid_cluster,,
lithuanian,Lithuanian,baltic_cluster,,
luo,Luo,nilotic_cluster,,
maasai,Maasai,nilotic_cluster,,
macedonian,Macedonian,south_slavic,,
magyar,Magyar,uralic_cluster,,
malagasy,Malagasy,austronesian_cluster,,
malay_indonesian,Malay / Indonesian,austronesian_cluster,,
malayalam,Malayalam,dravidian_cluster,,
manchu,Manchu,tungusic_cluster,,
mande_cluster,Mande Cluster,sub_saharan_african_bloc,,
mapuche,Mapuche,amazonian_other_south_american_cluster,,
marathi,Marathi,indo_aryan_cluster,,
maya,Maya,mesoamerican_cluster,,
median,Median,iranian_cluster,,
melanesian,Melanesian,oceanic_cluster,,
mesoamerican_cluster,Mesoamerican Cluster,american_indigenous_bloc,,
mestizo,Mestizo,hybrid_multi_ethnic_groups,,
micronesian,Micronesian,oceanic_cluster,,
middle_eastern_north_african_bloc,MIDDLE EASTERN & NORTH AFRICAN BLOC,,,
minoan,Minoan,ancient_mediterranean,,
mississippian,Mississippian,north_american_cluster,,Mound-building civilization of eastern North America
modern_greek,Modern Greek,hellenic_cluster,,
modern_semitic_groups,Modern Semitic Groups,semitic_cluster,,
mongol,Mongol,mongolic_cluster,,
mongolic_cluster,Mongolic Cluster,east_asian_bloc,,
mulatto,Mulatto,hybrid_multi_ethnic_groups,,
métis,Métis,hybrid_multi_ethnic_groups,,
navajo,Navajo,north_american_cluster,,
nepali,Nepali,indo_aryan_cluster,,
nilotic_cluster,Nilotic Cluster,sub_saharan_african_bloc,,
norman,Norman,romance_cluster,,
north_american_cluster,North American Cluster,american_indigenous_bloc,,
nubian,Nubian,egyptian_cluster,,
nuer,Nuer,nilotic_cluster,,
oceanic_cluster,Oceanic Cluster,southeast_asian_oceanic_bloc,,
oromo,Oromo,cushitic_cluster,,
other_east_asian_groups,Other East Asian Groups,east_asian_bloc,,
other_sub_saharan_groups,Other Sub-Saharan Groups,sub_saharan_african_bloc,,
palestinian,Palestinian,levantine_diaspora,,
parsi,Parsi,religious_ethnic_groups,,
parthian,Parthian,iranian_cluster,,
pashtun,Pashtun,iranian_cluster,,
persian,Persian,iranian_cluster,,
phoenician,Phoenician,ancient_semitic_groups,,
polish,Polish,west_slavic,,
polynesian,Polynesian,oceanic_cluster,,
portuguese,Portuguese,romance_cluster,,
punjabi,Punjabi,indo_aryan_cluster,,
pygmy_peoples,Pygmy peoples,other_sub_saharan_groups,,
quechua,Quechua,andean_cluster,,
quiche,Quiche,mesoamerican_cluster,,
rapa_nui,Rapa Nui,extinct_modern_groups,,
religious_ethnic_groups,Religious-Ethnic Groups,diaspora_cosmopolitan_communities,,
riffian,Riffian,berber_amazigh_cluster,,
roman,Roman,ancient_mediterranean,,
romance_cluster,Romance Cluster,eurasian,,
romanian,Romanian,romance_cluster,,
russian,Russian,east_slavic,,
ryukyuan,Ryukyuan,japanese_cluster,,
samaritan,Samaritan,central_asian_silk_road,,
sami,Sami,uralic_cluster,,
san,San,other_sub_saharan_groups,,
scandinavian,Scandinavian,germanic_cluster,,
scottish_gaelic,Scottish Gaelic,celtic_cluster,,
scythian,Scythian,ancient_european,,
semitic_cluster,Semitic Cluster,middle_eastern_north_african_bloc,,
serbian,Serbian,south_slavic,,
sherpa,Sherpa,tibeto_burman_cluster,,
shona,Shona,bantoid_cluster,,
sinhalese,Sinhalese,indo_aryan_cluster,,
sinitic_cluster,Sinitic Cluster,east_asian_bloc,,
sioux_lakota,Sioux / Lakota,north_american_cluster,,
slavic_cluster,Slavic Cluster,eurasian,,
slovak,Slovak,west_slavic,,
slovenian,Slovenian,south_slavic,,
sogdian,Sogdian,central_asian_silk_road,,
somali,Somali,cushitic_cluster,,
sotho,Sotho,bantoid_cluster,,
south_asian,SOUTH ASIAN,,,
south_slavic,South Slavic,slavic_cluster,,
southeast_asian_oceanic_bloc,SOUTHEAST ASIAN & OCEANIC BLOC,,,
spanish,Spanish,romance_cluster,,
sub_saharan_african_bloc,SUB-SAHARAN AFRICAN BLOC,,,
sumerian,Sumerian,ancient_near_eastern,,
swahili,Swahili,bantoid_cluster,,
syrian,Syrian,levantine_diaspora,,
tachelhit,Tachelhit,berber_amazigh_cluster,,
tagalog,Tagalog,austronesian_cluster,,
tajik,Tajik,central_asian_silk_road,,
tamil,Tamil,dravidian_cluster,,
tatar,Tatar,turkic_cluster,,
telugu,Telugu,dravidian_cluster,,
thai,Thai,other_east_asian_groups,,
thracian,Thracian,ancient_european,,
tibetan,Tibetan,tibeto_burman_cluster,,
tibeto_burman_cluster,Tibeto-Burman Cluster,south_asian,,
tigrayan,Tigrayan,modern_semitic_groups,,
torres_strait_islander,Torres Strait Islander,aboriginal_cluster,,
trading_merchant_communities,Trading & Merchant Communities,diaspora_cosmopolitan_communities,,
tswana,Tswana,bantoid_cluster,,
tuareg,Tuareg,berber_amazigh_cluster,,
tulu,Tulu,dravidian_cluster,,
tungusic_cluster,Tungusic Cluster,east_asian_bloc,,
tupi,Tupi,amazonian_other_south_american_cluster,,
turkic_cluster,Turkic Cluster,central_asian_steppe_bloc,,
turkish,Turkish,turkic_cluster,,
turkmen,Turkmen,turkic_cluster,,
ukrainian,Ukrainian,east_slavic,,
uralic_cluster,Uralic Cluster,central_asian_steppe_bloc,,
uyghur,Uyghur,central_asian_silk_road,,
uzbek,Uzbek,turkic_cluster,,
vietnamese,Vietnamese,other_east_asian_groups,,
welsh,Welsh,celtic_cluster,,
west_slavic,West Slavic,slavic_cluster,,
wolof,Wolof,mande_cluster,,
yamato,Yamato,japanese_cluster,,
yanomami,Yanomami,amazonian_other_south_american_cluster,,
yazidi,Yazidi,levantine_diaspora,,
yoruba,Yoruba,kwa_guinea_cluster,,
zenata,Zenata,berber_amazigh_cluster,,
zulu,Zulu,bantoid_cluster,,
ba_shu_peoples,Ba-Shu Peoples,sinitic_cluster,Pre-Qin peoples of the Sichuan basin (Ba and Shu); culturally distinct from the Zhou heartland,
baloch,Baloch,iranian_cluster,Northwestern Iranian people of Balochistan,
di_people,Di,tibeto_burman_cluster,One of the Five Barbarians (Wu Hu); proto-Tibeto-Burman people who founded Former Qin under Fu Jian,
gutian,Gutian,ancient_near_eastern,Zagros highland people who overran Akkad; language unclassified,
kassite,Kassite,ancient_near_eastern,Bronze Age people who ruled Babylon as the Kassite dynasty; language isolate,
lullubi,Lullubi,ancient_near_eastern,Bronze Age Zagros highland tribal people attested in Akkadian/Kassite sources,
mannaean,Mannaean,ancient_near_eastern,Iron Age people of the Lake Urmia basin; pre-Iranian Zagros stock,
punt_people,Puntite,cushitic_cluster,People of the Land of Punt on the Horn of Africa / Red Sea coast; affinity debated,
