from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years,provenance
northern_song,Northern Song Dynasty,southern_song,Southern Song Dynasty,contraction,9,yangtze,1,1,0,1,1,0,0,stub
roman_kingdom,Roman Kingdom,roman_republic,Roman Republic,expansion,9,italy,1,1,0,1,1,0,0,stub
hotak_dynasty,Hotak Dynasty,durrani_empire,Durrani Empire,expansion,9,khorasan,1,1,0,1,1,0,9,stub
manchukuo,Manchukuo,peoples_republic_of_china,People's Republic of China,expansion,9,manchuria,1,1,0,1,1,0,4,stub
shang_dynasty,Shang Dynasty,zhou_dynasty,Zhou Dynasty,expansion,9,yellow_river,1,1,0,1,1,0,0,stub
cao_wei,Cao Wei,western_jin,Western Jin Dynasty,expansion,9,yellow_river,1,1,0,1,1,0,0,stub
shu_han,Shu Han,western_jin,Western Jin Dynasty,expansion,9,yellow_river,1,1,0,1,1,0,2,stub
ifat_sultanate,Ifat Sultanate,adal_sultanate,Adal Sultanate,same,9,arabia,1,1,0,1,1,0,0,stub
chalukya_dynasty,Chalukya Dynasty (Badami),rashtrakuta_dynasty,Rashtrakuta Dynasty,same,9,deccan,1,1,0,1,1,0,-4,stub
rashtrakuta_dynasty,Rashtrakuta Dynasty,western_chalukya,Western Chalukya Empire,same,9,deccan,1,1,0,1,1,0,-9,stub
tulunid_dynasty,Tulunid Dynasty,ikhshidid_dynasty,Ikhshidid Dynasty,same,9,egypt|levant,2,1,0,1,1,0,30,stub
kingdom_of_egypt,Kingdom of Egypt,republic_of_egypt,Republic of Egypt,same,9,egypt,1,1,0,1,1,0,0,stub
weimar_republic,Weimar Republic,nazi_germany,Nazi Germany (Third Reich),same,9,germany|prussia,2,1,0,1,0,0,0,stub
almoravid_dynasty,Almoravid Dynasty,almohad_caliphate,Almohad Caliphate,same,9,iberia|north_africa,2,1,0,1,1,0,-26,stub
odoacer_kingdom,Kingdom of Odoacer,ostrogothic_kingdom,Ostrogothic Kingdom of Italy,same,9,italy,1,1,0,1,1,0,0,stub
nara_period,Nara Period,heian_period,Heian Period,same,9,japanese_archipelago,1,1,0,1,1,0,0,stub
grand_duchy_moscow,Grand Duchy of Moscow,tsardom_russia,Tsardom of Russia,same,9,kievan_rus,1,1,0,1,1,0,0,stub
silla,Silla,unified_silla,Unified Silla,same,9,korean_peninsula,1,1,0,1,1,0,0,stub
goguryeo,Goguryeo,balhae,Balhae (Bohai),same,9,korean_peninsula|manchuria,2,1,0,1,1,0,30,stub
baekje,Baekje,unified_silla,Unified Silla,same,9,korean_peninsula,1,1,0,1,1,0,8,stub
kingdom_of_israel,United Kingdom of Israel,kingdom_of_judah,Kingdom of Judah,same,9,levant,1,1,0,1,1,0,0,stub
kingdom_of_iraq,Kingdom of Iraq,republic_of_iraq,Republic of Iraq,same,9,mesopotamia,1,1,0,1,1,0,0,stub
idrisid_dynasty,Idrisid Dynasty,zirid_dynasty,Zirid Dynasty,same,9,north_africa,1,1,0,1,1,0,-2,stub
kingdom_of_denmark,Kingdom of Denmark,kingdom_of_sweden,Kingdom of Sweden,same,9,scandinavia,1,1,0,1,1,0,0,stub
zhou_dynasty,Zhou Dynasty,qin_dynasty,Qin Dynasty,same,9,yangtze|yellow_river,2,1,0,1,1,0,35,stub
qin_dynasty,Qin Dynasty,han_dynasty,Han Dynasty,same,9,yangtze|yellow_river,2,1,0,1,0,0,0,stub
eastern_jin,Eastern Jin Dynasty,southern_dynasties,Southern Dynasties,same,9,yangtze,1,1,0,1,1,0,0,stub
sui_dynasty,Sui Dynasty,tang_dynasty,Tang Dynasty,same,9,yangtze|yellow_river,2,1,0,1,0,0,0,stub
hunnic_empire,Hunnic Empire,avar_khaganate,Avar Khaganate,contraction,8,central_asian_steppe|hungary,2,1,0,1,1,0,115,stub
abbasid_caliphate,Abbasid Caliphate,fatimid_caliphate,Fatimid Caliphate,contraction,8,egypt|levant|north_africa,3,1,0,1,0,0,-349,stub
pratihara_dynasty,Pratihara Dynasty,sena_dynasty,Sena Dynasty,contraction,8,ganges_plain,1,1,0,1,1,0,34,stub
pratihara_dynasty,Pratihara Dynasty,gajapati_dynasty,Gajapati Dynasty (Odisha),contraction,8,ganges_plain,1,1,0,1,1,0,42,stub
habsburg_monarchy,Habsburg Monarchy,weimar_republic,Weimar Republic,contraction,8,germany,1,1,0,1,0,0,0,stub
kingdom_of_prussia,Kingdom of Prussia,german_empire,German Empire (Deutsches Reich),contraction,8,germany|prussia,2,1,0,1,0,0,-47,stub
kingdom_of_prussia,Kingdom of Prussia,nazi_germany,Nazi Germany (Third Reich),contraction,8,germany|prussia,2,1,0,1,0,0,15,stub
nazi_germany,Nazi Germany (Third Reich),federal_republic_germany,Federal Republic of Germany,contraction,8,germany,1,1,0,1,0,0,4,stub
nazi_germany,Nazi Germany (Third Reich),east_germany,German Democratic Republic (East Germany),contraction,8,germany,1,1,0,1,0,0,4,stub
ghaznavid_empire,Ghaznavid Empire,delhi_sultanate,Delhi Sultanate,contraction,8,indus_valley|punjab,2,1,0,1,0,0,20,stub
empire_of_japan,Empire of Japan (Meiji),modern_japan,Modern Japan (Postwar),contraction,8,japanese_archipelago,1,1,0,1,0,0,0,stub
macedonian_empire,Macedonian Empire (Alexander),greco_bactrian_kingdom,Greco-Bactrian Kingdom,contraction,8,khorasan|transoxiana,2,1,0,1,1,0,67,stub
soviet_union,Soviet Union,russian_federation,Russian Federation,contraction,8,kievan_rus,1,1,0,1,0,0,0,stub
mongol_empire,Mongol Empire,yuan_dynasty,Yuan Dynasty,contraction,8,manchuria|yangtze|yellow_river,3,1,0,1,0,0,-97,stub
almohad_caliphate,Almohad Caliphate,hafsid_dynasty,Hafsid Dynasty,contraction,8,north_africa,1,1,0,1,1,0,-40,stub
almohad_caliphate,Almohad Caliphate,marinid_dynasty,Marinid Dynasty,contraction,8,north_africa,1,1,0,1,1,0,-25,stub
seljuk_empire,Seljuk Empire,khwarazmian_empire,Khwarazmian Empire,contraction,8,transoxiana,1,1,0,1,0,0,6,stub
han_dynasty,Han Dynasty,eastern_wu,Eastern Wu,contraction,8,yangtze,1,1,0,1,0,0,2,stub
tang_dynasty,Tang Dynasty,ten_kingdoms,Ten Kingdoms (South China),contraction,8,yangtze,1,1,0,1,0,0,0,stub
han_dynasty,Han Dynasty,cao_wei,Cao Wei,contraction,8,yellow_river,1,1,0,1,0,0,0,stub
han_dynasty,Han Dynasty,shu_han,Shu Han,contraction,8,yellow_river,1,1,0,1,0,0,1,stub
tang_dynasty,Tang Dynasty,five_dynasties,Five Dynasties (North China),contraction,8,yellow_river,1,1,0,1,0,0,0,stub
kingdom_of_france,Kingdom of France,angevin_empire,Angevin Empire,expansion,8,aquitaine|gaul,2,1,0,1,1,0,-638,stub
silla,Silla,balhae,Balhae (Bohai),expansion,8,korean_peninsula,1,1,0,1,1,0,30,stub
baekje,Baekje,balhae,Balhae (Bohai),expansion,8,korean_peninsula,1,1,0,1,1,0,38,stub
zirid_dynasty,Zirid Dynasty,almohad_caliphate,Almohad Caliphate,expansion,8,north_africa,1,1,0,1,1,0,-27,stub
pakistan,Pakistan,republic_of_india,Republic of India,expansion,8,punjab,1,1,0,1,0,0,0,stub
eastern_wu,Eastern Wu,western_jin,Western Jin Dynasty,expansion,8,yangtze,1,1,0,1,1,0,-15,stub
ten_kingdoms,Ten Kingdoms (South China),northern_song,Northern Song Dynasty,expansion,8,yangtze,1,1,0,1,1,0,-19,stub
five_dynasties,Five Dynasties (North China),northern_song,Northern Song Dynasty,expansion,8,yellow_river,1,1,0,1,0,0,0,stub
odoacer_kingdom,Kingdom of Odoacer,carolingian_empire,Frankish Kingdom / Carolingian Empire,expansion,8,,0,1,0,1,1,0,-7,stub
principality_of_wallachia,Principality of Wallachia,kingdom_of_romania,Kingdom of Romania,same,8,balkans,1,1,0,1,1,0,22,stub
principality_of_moldavia,Principality of Moldavia,kingdom_of_romania,Kingdom of Romania,same,8,balkans,1,1,0,1,1,0,22,stub
rashtrakuta_dynasty,Rashtrakuta Dynasty,hoysala_dynasty,Hoysala Empire,same,8,deccan,1,1,0,1,1,0,24,stub
german_empire,German Empire (Deutsches Reich),nazi_germany,Nazi Germany (Third Reich),same,8,germany|prussia,2,1,0,1,0,0,15,stub
afsharid_dynasty,Afsharid Dynasty,qajar_dynasty,Qajar Dynasty,same,8,iran_plateau|khorasan,2,1,0,0,1,0,0,stub
qajar_dynasty,Qajar Dynasty,pahlavi_dynasty,Pahlavi Dynasty,same,8,iran_plateau|khorasan,2,1,0,0,1,0,0,stub
pahlavi_dynasty,Pahlavi Dynasty,islamic_republic_iran,Islamic Republic of Iran,same,8,iran_plateau|khorasan,2,1,0,0,1,0,0,stub
ostrogothic_kingdom,Ostrogothic Kingdom of Italy,lombard_kingdom,Kingdom of the Lombards,same,8,italy,1,1,0,1,1,0,15,stub
yamato_period,Yamato Period,nara_period,Nara Period,same,8,japanese_archipelago,1,1,0,1,0,0,0,stub
feudal_japan,Feudal Japan,tokugawa_shogunate,Tokugawa Shogunate (Edo Period),same,8,japanese_archipelago,1,1,0,1,0,0,0,stub
goryeo,Goryeo Dynasty,joseon,Joseon Dynasty,same,8,korean_peninsula,1,1,0,1,0,0,0,stub
zangid_atabegate,Zangid Atabegate,mamluk_sultanate,Mamluk Sultanate,same,8,levant,1,1,0,1,0,0,0,stub
hafsid_dynasty,Hafsid Dynasty,saadian_dynasty,Saadian Dynasty,same,8,north_africa,1,1,0,1,1,0,-25,stub
saadian_dynasty,Saadian Dynasty,alawite_dynasty,Alawite Dynasty (Morocco),same,8,north_africa,1,1,0,1,1,0,-28,stub
zhou_dynasty,Zhou Dynasty,han_dynasty,Han Dynasty,same,8,yangtze|yellow_river,2,1,0,1,0,0,50,stub
han_dynasty,Han Dynasty,western_jin,Western Jin Dynasty,same,8,yangtze|yellow_river,2,1,0,1,0,0,45,stub
eastern_wu,Eastern Wu,eastern_jin,Eastern Jin Dynasty,same,8,yangtze,1,1,0,1,1,0,37,stub
cao_wei,Cao Wei,shu_han,Shu Han,same,8,yellow_river,1,1,0,1,1,0,-44,stub
roman_empire,Roman Empire,byzantine_empire,Byzantine Empire,contraction,7,anatolia|balkans|egypt|levant|north_africa,5,0,0,0,0,0,0,wp:Byzantine_Empire
goktürk_khaganate,Göktürk Khaganate,uyghur_khaganate,Uyghur Khaganate,contraction,7,central_asian_steppe|mongolian_plateau,2,1,0,0,0,0,0,stub
macedonian_empire,Macedonian Empire (Alexander),ptolemaic_egypt,Ptolemaic Kingdom,contraction,7,egypt|levant,2,1,0,0,1,0,18,stub
gupta_empire,Gupta Empire,kamarupa_kingdom,Kamarupa Kingdom,contraction,7,ganges_plain,1,1,0,1,1,0,-200,stub
habsburg_monarchy,Habsburg Monarchy,german_empire,German Empire (Deutsches Reich),contraction,7,germany,1,1,0,1,0,0,-47,stub
habsburg_monarchy,Habsburg Monarchy,nazi_germany,Nazi Germany (Third Reich),contraction,7,germany,1,1,0,1,0,0,15,stub
habsburg_monarchy,Habsburg Monarchy,federal_republic_germany,Federal Republic of Germany,contraction,7,germany,1,1,0,1,0,0,31,stub
habsburg_monarchy,Habsburg Monarchy,east_germany,German Democratic Republic (East Germany),contraction,7,germany,1,1,0,1,0,0,31,stub
kingdom_of_prussia,Kingdom of Prussia,federal_republic_germany,Federal Republic of Germany,contraction,7,germany,1,1,0,1,0,0,31,stub
kingdom_of_prussia,Kingdom of Prussia,east_germany,German Democratic Republic (East Germany),contraction,7,germany,1,1,0,1,0,0,31,stub
german_empire,German Empire (Deutsches Reich),federal_republic_germany,Federal Republic of Germany,contraction,7,germany,1,1,0,1,0,0,31,stub
german_empire,German Empire (Deutsches Reich),east_germany,German Democratic Republic (East Germany),contraction,7,germany,1,1,0,1,0,0,31,stub
weimar_republic,Weimar Republic,federal_republic_germany,Federal Republic of Germany,contraction,7,germany,1,1,0,1,0,0,16,stub
weimar_republic,Weimar Republic,east_germany,German Democratic Republic (East Germany),contraction,7,germany,1,1,0,1,0,0,16,stub
safavid_empire,Safavid Empire,afsharid_dynasty,Afsharid Dynasty,contraction,7,iran_plateau|khorasan,2,1,0,0,0,0,0,stub
safavid_empire,Safavid Empire,zand_dynasty,Zand Dynasty,contraction,7,iran_plateau,1,1,0,1,0,0,15,stub
sassanid_empire,Sassanid Empire,kushano_sasanian_kingdom,Kushano-Sasanian Kingdom,contraction,7,khorasan,1,1,0,1,1,0,-421,stub
balhae,Balhae (Bohai),goryeo,Goryeo Dynasty,contraction,7,korean_peninsula,1,1,0,0,1,0,-8,stub
seleucid_empire,Seleucid Empire,ptolemaic_egypt,Ptolemaic Kingdom,contraction,7,levant,1,1,0,1,1,0,-242,stub
almoravid_dynasty,Almoravid Dynasty,hafsid_dynasty,Hafsid Dynasty,contraction,7,north_africa,1,1,0,1,1,0,82,stub
almoravid_dynasty,Almoravid Dynasty,marinid_dynasty,Marinid Dynasty,contraction,7,north_africa,1,1,0,1,1,0,97,stub
western_jin,Western Jin Dynasty,southern_dynasties,Southern Dynasties,contraction,7,yangtze,1,1,0,1,1,0,104,stub
umayyad_caliphate,Umayyad Caliphate,al_andalus,Al-Andalus,contraction,7,,0,1,0,1,1,0,-39,stub
ghaznavid_empire,Ghaznavid Empire,khwarazmian_empire,Khwarazmian Empire,contraction,7,,0,1,0,1,1,0,14,stub
seljuk_rum,Sultanate of Rum,ottoman_empire,Ottoman Empire,expansion,7,anatolia,1,1,0,0,1,0,-8,wp:Osman_I
nanda_empire,Nanda Empire,maurya_empire,Maurya Empire,expansion,7,ganges_plain,1,1,0,0,1,0,0,stub
kamarupa_kingdom,Kamarupa Kingdom,pratihara_dynasty,Pratihara Dynasty,expansion,7,ganges_plain,1,1,0,1,1,0,-410,stub
malwa_sultanate,Malwa Sultanate,mughal_empire,Mughal Empire,expansion,7,ganges_plain,1,1,0,1,0,0,-36,stub
jaunpur_sultanate,Jaunpur Sultanate,mughal_empire,Mughal Empire,expansion,7,ganges_plain,1,1,0,1,0,0,47,stub
gujarat_sultanate,Gujarat Sultanate,mughal_empire,Mughal Empire,expansion,7,indus_valley,1,1,0,1,0,0,-47,stub
kara_koyunlu,Kara Koyunlu (Black Sheep Turkmen),aq_qoyunlu,Aq Qoyunlu (White Sheep Turkmen),expansion,7,iran_plateau|mesopotamia,2,1,0,1,0,0,-90,stub
zand_dynasty,Zand Dynasty,qajar_dynasty,Qajar Dynasty,expansion,7,iran_plateau,1,1,0,0,1,0,2,stub
silla,Silla,goguryeo,Goguryeo,expansion,7,korean_peninsula,1,1,0,1,1,0,-631,stub
unified_silla,Unified Silla,balhae,Balhae (Bohai),expansion,7,korean_peninsula,1,1,0,1,1,0,-237,stub
idrisid_dynasty,Idrisid Dynasty,almoravid_dynasty,Almoravid Dynasty,expansion,7,north_africa,1,1,0,1,1,0,66,stub
idrisid_dynasty,Idrisid Dynasty,almohad_caliphate,Almohad Caliphate,expansion,7,north_africa,1,1,0,1,1,0,147,stub
zirid_dynasty,Zirid Dynasty,almoravid_dynasty,Almoravid Dynasty,expansion,7,north_africa,1,1,0,1,1,0,-108,stub
kingdom_of_poland,Kingdom of Poland,polish_lithuanian_commonwealth,Polish-Lithuanian Commonwealth,expansion,7,poland,1,1,0,0,1,0,0,stub
northern_dynasties,Northern Dynasties,sui_dynasty,Sui Dynasty,expansion,7,yellow_river,1,1,0,0,1,0,0,stub
second_bulgarian_empire,Second Bulgarian Empire,serbian_empire,Serbian Empire (Nemanjić Dynasty),same,7,balkans,1,1,0,1,1,0,-206,stub
second_bulgarian_empire,Second Bulgarian Empire,bosnian_kingdom,Bosnian Kingdom,same,7,balkans,1,1,0,1,0,0,-19,stub
serbian_empire,Serbian Empire (Nemanjić Dynasty),bosnian_kingdom,Bosnian Kingdom,same,7,balkans,1,1,0,1,0,0,-12,stub
principality_of_wallachia,Principality of Wallachia,principality_of_moldavia,Principality of Moldavia,same,7,balkans,1,1,0,1,1,0,-513,stub
dzungar_khanate,Dzungar Khanate,khoshut_khanate,Khoshut Khanate,same,7,central_asian_steppe,1,1,0,1,1,0,-113,stub
pandya_dynasty,Pandya Dynasty,pallava_dynasty,Pallava Dynasty,same,7,deccan,1,1,0,1,1,0,-1070,stub
pandya_dynasty,Pandya Dynasty,vijayanagara_empire,Vijayanagara Empire,same,7,deccan,1,1,0,0,1,0,-9,stub
chola_empire,Chola Empire,pallava_dynasty,Pallava Dynasty,same,7,deccan,1,1,0,1,1,0,-1004,stub
chera_dynasty,Chera Dynasty,pallava_dynasty,Pallava Dynasty,same,7,deccan,1,1,0,1,1,0,-827,stub
western_chalukya,Western Chalukya Empire,hoysala_dynasty,Hoysala Empire,same,7,deccan,1,1,0,1,1,0,-183,stub
hoysala_dynasty,Hoysala Empire,vijayanagara_empire,Vijayanagara Empire,same,7,deccan,1,1,0,0,1,0,-10,stub
vijayanagara_empire,Vijayanagara Empire,mysore_kingdom,Mysore Kingdom,same,7,deccan,1,1,0,1,1,0,-247,stub
ayyubid_sultanate,Ayyubid Sultanate,mamluk_sultanate,Mamluk Sultanate,same,7,egypt|levant,2,0,0,1,1,0,-10,stub
kamarupa_kingdom,Kamarupa Kingdom,sena_dynasty,Sena Dynasty,same,7,ganges_plain,1,1,0,1,1,0,-70,stub
kamarupa_kingdom,Kamarupa Kingdom,gajapati_dynasty,Gajapati Dynasty (Odisha),same,7,ganges_plain,1,1,0,1,1,0,-62,stub
sena_dynasty,Sena Dynasty,gajapati_dynasty,Gajapati Dynasty (Odisha),same,7,ganges_plain,1,1,0,1,1,0,-152,stub
malwa_sultanate,Malwa Sultanate,jaunpur_sultanate,Jaunpur Sultanate,same,7,ganges_plain,1,1,0,1,1,0,-168,stub
odoacer_kingdom,Kingdom of Odoacer,lombard_kingdom,Kingdom of the Lombards,same,7,italy,1,1,0,1,1,0,75,stub
samanid_empire,Samanid Empire,saffarid_dynasty,Saffarid Dynasty,same,7,khorasan,1,1,0,1,1,0,-138,stub
ghaznavid_empire,Ghaznavid Empire,seljuk_empire,Seljuk Empire,same,7,khorasan|transoxiana,2,1,0,1,0,0,-149,stub
novgorod_republic,Novgorod Republic,galicia_volhynia,Principality of Galicia-Volhynia,same,7,kievan_rus,1,1,0,1,1,0,-279,stub
silla,Silla,baekje,Baekje,same,7,korean_peninsula,1,1,0,1,1,0,-686,stub
zirid_dynasty,Zirid Dynasty,hafsid_dynasty,Hafsid Dynasty,same,7,north_africa,1,1,0,1,1,0,81,stub
zirid_dynasty,Zirid Dynasty,marinid_dynasty,Marinid Dynasty,same,7,north_africa,1,1,0,1,1,0,96,stub
hafsid_dynasty,Hafsid Dynasty,marinid_dynasty,Marinid Dynasty,same,7,north_africa,1,1,0,1,1,0,-330,stub
hafsid_dynasty,Hafsid Dynasty,alawite_dynasty,Alawite Dynasty (Morocco),same,7,north_africa,1,1,0,1,1,0,57,stub
marinid_dynasty,Marinid Dynasty,saadian_dynasty,Saadian Dynasty,same,7,north_africa,1,1,0,1,1,0,84,stub
aksumite_kingdom,Aksumite Kingdom,zagwe_dynasty,Zagwe Dynasty,same,7,nubia,1,1,0,1,0,0,-40,stub
kingdom_of_denmark,Kingdom of Denmark,kalmar_union,Kalmar Union,same,7,scandinavia,1,1,0,0,1,0,0,stub
kingdom_of_sweden,Kingdom of Sweden,kalmar_union,Kalmar Union,same,7,scandinavia,1,1,0,0,1,0,0,stub
khanate_of_bukhara,Khanate of Bukhara,khanate_of_khiva,Khanate of Khiva,same,7,transoxiana,1,1,0,1,1,0,-274,stub
khanate_of_bukhara,Khanate of Bukhara,khanate_of_kokand,Khanate of Kokand,same,7,transoxiana,1,1,0,1,1,0,-76,stub
khanate_of_khiva,Khanate of Khiva,khanate_of_kokand,Khanate of Kokand,same,7,transoxiana,1,1,0,1,1,0,-211,stub
eastern_wu,Eastern Wu,southern_dynasties,Southern Dynasties,same,7,yangtze,1,1,0,1,1,0,140,stub
tang_dynasty,Tang Dynasty,northern_song,Northern Song Dynasty,same,7,yangtze|yellow_river,2,1,0,1,0,0,53,stub
ten_kingdoms,Ten Kingdoms (South China),southern_song,Southern Song Dynasty,same,7,yangtze,1,1,0,1,1,0,148,stub
north_korea,Democratic People's Republic of Korea (North Korea),south_korea,Republic of Korea (South Korea),same,7,,0,1,0,1,0,0,0,stub
ottoman_empire,Ottoman Empire,republic_of_turkey,Republic of Turkey,contraction,6,anatolia,1,1,0,0,0,0,1,stub
chagatai_khanate,Chagatai Khanate,moghulistan,Moghulistan Khanate,contraction,6,central_asian_steppe,1,1,0,0,0,0,0,stub
mughal_empire,Mughal Empire,hyderabad_state,Nizam of Hyderabad,contraction,6,deccan,1,1,0,1,0,0,-133,stub
fatimid_caliphate,Fatimid Caliphate,ayyubid_sultanate,Ayyubid Sultanate,contraction,6,egypt|levant,2,0,0,1,0,0,0,stub
gupta_empire,Gupta Empire,harsha_empire,Harsha Empire,contraction,6,ganges_plain,1,1,0,1,0,0,56,stub
delhi_sultanate,Delhi Sultanate,malwa_sultanate,Malwa Sultanate,contraction,6,ganges_plain,1,1,0,1,0,0,-134,stub
delhi_sultanate,Delhi Sultanate,jaunpur_sultanate,Jaunpur Sultanate,contraction,6,ganges_plain,1,1,0,1,0,0,-132,stub
western_roman_empire,Western Roman Empire,carolingian_empire,Frankish Kingdom / Carolingian Empire,contraction,6,gaul,1,0,0,1,1,0,10,stub
delhi_sultanate,Delhi Sultanate,gujarat_sultanate,Gujarat Sultanate,contraction,6,indus_valley,1,1,0,1,0,0,-119,stub
mongol_empire,Mongol Empire,ilkhanate,Ilkhanate,contraction,6,iran_plateau|khorasan|mesopotamia,3,1,0,0,0,0,-112,stub
mongol_empire,Mongol Empire,jalayirid_sultanate,Jalayirid Sultanate,contraction,6,iran_plateau|mesopotamia,2,1,0,0,0,0,-33,stub
ilkhanate,Ilkhanate,timurid_empire,Timurid Empire,contraction,6,iran_plateau|khorasan,2,0,0,1,1,0,35,stub
afsharid_dynasty,Afsharid Dynasty,zand_dynasty,Zand Dynasty,contraction,6,iran_plateau,1,1,0,0,1,0,-45,stub
western_roman_empire,Western Roman Empire,odoacer_kingdom,Kingdom of Odoacer,contraction,6,italy,1,0,0,1,1,0,0,stub
ghaznavid_empire,Ghaznavid Empire,ghorid_dynasty,Ghorid Sultanate,contraction,6,khorasan|punjab,2,0,0,1,1,0,-38,stub
kievan_rus,Kievan Rus,galicia_volhynia,Principality of Galicia-Volhynia,contraction,6,kievan_rus,1,1,0,0,1,0,-41,stub
mongol_empire,Mongol Empire,north_yuan,North Yuan,contraction,6,mongolian_plateau,1,1,0,0,0,0,0,stub
kara_khanid_khanate,Kara-Khanid Khanate,khwarazmian_empire,Khwarazmian Empire,contraction,6,transoxiana,1,1,0,0,1,0,-12,stub
timurid_empire,Timurid Empire,khanate_of_bukhara,Khanate of Bukhara,contraction,6,transoxiana,1,1,0,0,0,0,-7,stub
timurid_empire,Timurid Empire,khanate_of_khiva,Khanate of Khiva,contraction,6,transoxiana,1,1,0,0,0,0,4,stub
han_dynasty,Han Dynasty,eastern_jin,Eastern Jin Dynasty,contraction,6,yangtze,1,1,0,1,0,0,97,stub
western_jin,Western Jin Dynasty,northern_dynasties,Northern Dynasties,contraction,6,yellow_river,1,1,0,1,0,0,70,stub
seljuk_empire,Seljuk Empire,timurid_empire,Timurid Empire,contraction,6,,0,1,0,1,1,0,176,stub
carolingian_empire,Frankish Kingdom / Carolingian Empire,ostrogothic_kingdom,Ostrogothic Kingdom of Italy,contraction,6,,0,1,0,1,1,0,-350,stub
carolingian_empire,Frankish Kingdom / Carolingian Empire,lombard_kingdom,Kingdom of the Lombards,contraction,6,,0,1,0,1,1,0,-275,stub
kingdom_of_england,Kingdom of England,kingdom_of_great_britain,Kingdom of Great Britain,expansion,6,britannia,1,1,0,0,0,0,0,stub
madurai_sultanate,Madurai Sultanate,mughal_empire,Mughal Empire,expansion,6,deccan,1,1,0,1,0,0,148,stub
bahmani_sultanate,Bahmani Sultanate,mughal_empire,Mughal Empire,expansion,6,deccan,1,1,0,0,0,0,-1,stub
tulunid_dynasty,Tulunid Dynasty,fatimid_caliphate,Fatimid Caliphate,expansion,6,egypt|levant,2,0,0,1,0,0,4,stub
harsha_empire,Harsha Empire,pratihara_dynasty,Pratihara Dynasty,expansion,6,ganges_plain,1,1,0,1,0,0,83,stub
parthian_empire,Parthian Empire (Arsacid),sassanid_empire,Sassanid Empire,expansion,6,iran_plateau|khorasan|mesopotamia,3,0,0,0,1,0,0,stub
timurid_empire,Timurid Empire,safavid_empire,Safavid Empire,expansion,6,iran_plateau|khorasan,2,0,0,1,0,0,-6,stub
